sub_id, sub_name, sub_juris, jur_id, jur_name
"936","CROWNE ON TIMBERLINE","1","1","Fort Collins"
"618","CRYSTAL LAKES BLACKFOOT CT","3","3","Larimer County"
"619","CRYSTAL LAKES CADDO CT","3","3","Larimer County"
"620","CRYSTAL LAKES CATAMOUNT WAY","3","3","Larimer County"
"621","CRYSTAL LAKES CATAWBA WAY","3","3","Larimer County"
"622","CRYSTAL LAKES CHIPPEWA CT","3","3","Larimer County"
"623","CRYSTAL LAKES CHOCTAW CT","3","3","Larimer County"
"624","CRYSTAL LAKES COCOPA CT","3","3","Larimer County"
"625","CRYSTAL LAKES COMANCHE WAY","3","3","Larimer County"
"626","CRYSTAL LAKES FLATHEAD CT","3","3","Larimer County"
"627","CRYSTAL LAKES HURON CT","3","3","Larimer County"
"641","CRYSTAL LAKES LONE PINE DR","3","3","Larimer County"
"628","CRYSTAL LAKES MATTAPONY CT","3","3","Larimer County"
"629","CRYSTAL LAKES MICMAC CT","3","3","Larimer County"
"630","CRYSTAL LAKES NAVAHO CIR","3","3","Larimer County"
"631","CRYSTAL LAKES OTTAWA CT","3","3","Larimer County"
"632","CRYSTAL LAKES SHOSHONI CT","3","3","Larimer County"
"633","CRYSTAL LAKES SOCORRO CIR","3","3","Larimer County"
"634","CRYSTAL LAKES SOCORRO CT","3","3","Larimer County"
"635","CRYSTAL LAKES SUTIKI CT","3","3","Larimer County"
"636","CRYSTAL LAKES TONKAWA CT","3","3","Larimer County"
"637","CRYSTAL LAKES TUSCARORA CT","3","3","Larimer County"
"638","CRYSTAL LAKES VOTO CT","3","3","Larimer County"
"639","CRYSTAL LAKES YAMPA CT","3","3","Larimer County"
"640","CRYSTAL LAKES YUKI CT","3","3","Larimer County"
"305","DATOKA GLEN FIRST SUBDIVISION","2","2","Loveland"
"387","DEEDS PLD  (31-6-68) KH","3","3","Larimer County"
"388","DEEDS PLD (31-6-68) KH","3","3","Larimer County"
"266","DIAMOND FARMS RLUP (11-9-69) KH","3","3","Larimer County"
"117","DIAMOND VALLEY","4","4","Windsor"
"576","DIEDRICK PARCEL IN BELLVUE","3","3","Larimer County"
"326","DILLE 1ST SUBDIVISION","2","2","Loveland"
"159","DOUGLAS FARM EXEMPTION 24-8-69","3","3","Larimer County"
"645","DOWDY LN RD NAME REPLACEMENT","3","3","Larimer County"
"355","DRAKE RLUP (11-9-72 KH)","3","3","Larimer County"
"587","DRY CREEK ","1","1","Fort Collins"
"411","DRY CREEK RIDGE SUB (18-5-69 KH)","3","3","Larimer County"
"1010","EAGLE BROOK MEADOWS 2ND","2","2","Loveland"
"146","EAGLE BROOK MEADOWS FIRST SUBD","2","2","Loveland"
"158","EAGLE CLIFFS","1","1","Fort Collins"
"6","EAGLE VIEW ESTATES","3","3","Larimer County"
"912","EAGLES CREST RESORT","3","3","Larimer County"
"113","EAST LOVELAND INDUSTRIAL 14TH SUBD","2","2","Loveland"
"339","EAST LOVELAND INDUSTRIAL 18TH SUBDIVISION","2","2","Loveland"
"325","EAST RIDGE","1","1","Fort Collins"
"307","EASTBROOK","4","4","Windsor"
"985","ELIZABETH STREET FARMS","1","1","Fort Collins"
"371","ELK RIDGE RLUP (3,2-10-74 &amp; 35-11-74)KH","3","3","Larimer County"
"238","ELLSI RANCH RLUP (2,3,10,11-5-70) KH","3","3","Larimer County"
"42","EMERALD GLEN 8TH SUBDIVISION","2","2","Loveland"
"418","ENCLAVE AT EAGLE VIEW CD (6-4-69 KH)","3","3","Larimer County"
"1024","ENCLAVE AT REDWOOD","1","1","Fort Collins"
"655","ESTES PARK CONDO - TOWN OF ESTES PARK","3","3","Larimer County"
"144","FAIRGROUNDS THIRD ADDITION","2","2","Loveland"
"400","FAIRVIEW VILLAGE","8","8","Timnath"
"772","FALCON POINT SUBDIVISION","4","4","Windsor"
"174","FALCON POINTE ESTATES CD 6-4-69","3","3","Larimer County"
"1002","FARMSTEAD","7","7","Berthoud"
"7","FOOTHILLS ESTATES II","3","3","Larimer County"
"34","FOOTHILLS VISTA ","3","3","Larimer County"
"93","FOOTHILLS VISTA SUBDIVISION 14-5-70","3","3","Larimer County"
"497","FOREST RD 128 RURAL ADDRESSING","3","3","Larimer County"
"769","FORT COLLINS RURAL ADDRESSING","3","3","Larimer County"
"967","FOSSIL CREEK MEADOWS","4","4","Windsor"
"1016","FOSSIL CREEK RANCH 3RD FILING ","4","4","Windsor"
"8","FOSSIL LAKE 2ND FILING","3","3","Larimer County"
"496","FOSSIL LAKE 6TH FILING/PLANK PLD/PD","3","3","Larimer County"
"210","FOSSIL LAKE PDP 4TH FILING","1","1","Fort Collins"
"97","FOSSIL LAKE PUD 3RD FILING","3","3","Larimer County"
"965","FOSSIL RIDGE 5TH FILING","4","4","Windsor"
"212","FOSSIL RIDGE SUBDIVISION, 2ND FILING","4","4","Windsor"
"260","FOSSIL RIDGE SUBDIVISION, FIRST FILING","4","4","Windsor"
"416","FOX ACRES ENV J AMD, 2ND FIL (KH 22-10-73)","3","3","Larimer County"
"944","FOX GROVE","1","1","Fort Collins"
"151","FOX POINTE 1ST SUBD","2","2","Loveland"
"56","FOX RUN ESTATES RLUP 16-8-68 00-S1718","3","3","Larimer County"
"73","FTC VOA ELDERLY HOUSING","1","1","Fort Collins"
"303","GARDELS MRD AMD (19-5-68) KH","3","3","Larimer County"
"298","GARDELS MRD AMD PLAT 19-5-68 KH","3","3","Larimer County"
"280","GARDEN GATE FIRST SUBDIVISION","2","2","Loveland"
"328","GARNET VALLEY ACRES SUBDIVISION (15-5-69 KH)","3","3","Larimer County"
"657","GATEWAY","8","8","Timnath"
"308","GATEWAY PARK","7","7","Berthoud"
"518","GILMORE LAKE RLUP 05-S2520","3","3","Larimer County"
"150","GIULIANO 1ST SUBD","2","2","Loveland"
"95","GLACIER VIEW MEADOWS, 12TH FILING","3","3","Larimer County"
"903","GLEN HAVEN UNNAMED 1","3","3","Larimer County"
"904","GLEN HAVEN UNNAMED ROAD 2","3","3","Larimer County"
"60","GLENN RIDGE ESTATES 2-7-68","3","3","Larimer County"
"316","GOOD SAMARITAN 2ND SUBDIVISION","2","2","Loveland"
"352","GREAT WESTERN ANNEXATION","4","4","Windsor"
"644","GREEN @ AUBURN ESTATES","3","3","Larimer County"
"245","GREEN VALLEY RANCH 1ST SUBD","2","2","Loveland"
"164","GREENBRIAR VILLAGE 5TH","1","1","Fort Collins"
"214","GREENSPIRE","4","4","Windsor"
"344","GREENWALD FARM","4","4","Windsor"
"509","GROVE @ LAPORTE","3","3","Larimer County"
"503","GROVE AT LAPORTE","3","3","Larimer County"
"9","GUTIERREZ","3","3","Larimer County"
"520","HALLETT HEIGHTS SUBDIVISION","3","3","Larimer County"
"970","HAMMOND","7","7","Berthoud"
"1004","HANSEN","1","1","Fort Collins"
"382","HARMONY ","8","8","Timnath"
"979","HARMONY COTTAGES","1","1","Fort Collins"
"406","HARMONY PD","3","3","Larimer County"
"699","HARMONY RIDGE","4","4","Windsor"
"91","HARMONY RIDGE","1","1","Fort Collins"
"252","HARVEST HEIGHT SUB (17-4-69) KH","3","3","Larimer County"
"1000","HARVEST RIDGE","7","7","Berthoud"
"240","HARVEY ROLLING HILLS PLANNED DEV (18-8-69) KH","3","3","Larimer County"
"263","HAY WAGON P.D. (29-5-69 KH)","3","3","Larimer County"
"80","HEARTHFIRE 2ND ","1","1","Fort Collins"
"961","HERITAGE RIDGE","7","7","Berthoud"
"664","HERON LAKES ","7","7","Berthoud"
"966","HERON LAKES 1ST","7","7","Berthoud"
"972","HERON POINTE","7","7","Berthoud"
"913","HERRERA SUBDIVISION","3","3","Larimer County"
"200","HEWLETT GULCH ROAD ASSOCATION (15-9-71)","3","3","Larimer County"
"601","HIDDEN POND ESTATES","1","1","Fort Collins"
"216","HIDDEN VALLEY ESTATES 2ND RLUP (KH 5,8,17-5-69","3","3","Larimer County"
"315","HIDDEN VALLEY ESTATES III RLUP (KH 5-5-69","3","3","Larimer County"
"162","HIDDEN VALLEY ESTATES RLUP ","3","3","Larimer County"
"125","HIGHLAND MEADOWS","4","4","Windsor"
"118","HIGHLAND MEADOWS 4TH FILING","4","4","Windsor"
"141","HIGHLAND MEADOWS 6TH FILING","4","4","Windsor"
"1001","HIGHLAND MEADOWS GOLF COURSE 15TH FILING","4","4","Windsor"
"119","HIGHLAND MEADOWS GOLF COURSE 1ST FILING","4","4","Windsor"
"948","HIGHLAND MEADOWS GOLF COURSE SUBDIVISION 11TH FILING","4","4","Windsor"
"235","HIGHLANDS INDUSTRIAL PARK SUBDIVISION, 2ND FILING","4","4","Windsor"
"207","HIGHPOINTE","4","4","Windsor"
"176","HILL CD PHASE 2","3","3","Larimer County"
"52","HILL CONSERVATION DEVELOPMENT","3","3","Larimer County"
"414","HISTORIC NAMES FOR OLD TOWN AREA AS DIRECTED BY TOWN BOARD AT REQUEST OF COLUMBINE CLUB ","8","8","Timnath"
"489","HITCHING POST RIDGE RLUP ","3","3","Larimer County"
"142","HODGES RLUP  (27-9-69)","3","3","Larimer County"
"592","HOEHNE THIRD SUBDIVISION","4","4","Windsor"
"834","HUANG PLD/PD","3","3","Larimer County"
"257","HULL SUBDIVISION","3","3","Larimer County"
"246","IN 33,34,35-11-74","3","3","Larimer County"
"130","IN SECTION 11-9-70 PAGE 61 ADDRESSING BOOK","3","3","Larimer County"
"110","IN SECTION 28-8-71","3","3","Larimer County"
"156","IN SECTION 3-9-69 35+TRACTS","3","3","Larimer County"
"152","IN SECTIONS 3-6-71 &amp; 34-7-71","3","3","Larimer County"
"10","INTERCHANGE BUSINESS PARK PUD","3","3","Larimer County"
"147","IRIS HILL CONSERVATION DEVELOPMENT 35-9-68","3","3","Larimer County"
"166","JACOBY FARM SECOND FILING","4","4","Windsor"
"191","JACOBY FARM SUBDIVISION","4","4","Windsor"
"836","JANSMA BROTHERS","3","3","Larimer County"
"180","KARLIN SUBDIVISION","3","3","Larimer County"
"951","KECHTER FARM PLD","1","1","Fort Collins"
"971","KECHTER FARM PLD FILING 2","1","1","Fort Collins"
"1015","KECHTER TOWNHOMES","1","1","Fort Collins"
"283","KELBRAN ESTATES","9","9","Wellington"
"11","KELLY FARM","3","3","Larimer County"
"49","KENDALL BROOK 1ST SUBDIVISION","2","2","Loveland"
"301","KENDALL BROOK 2ND SUBDIVISION","2","2","Loveland"
"349","KENDALL CANYON RANCH ESTATES MINOR SUBDIVISION    (17-5-72 KH)","3","3","Larimer County"
"608","KETCHER CROSSING PLD/PD","3","3","Larimer County"
"274","KOLDEWAY INDUSTRIAL SECOND SUBDIVISION","2","2","Loveland"
"227","KOLDEWAY INDUSTRIAL THIRD SUBDIVISION","2","2","Loveland"
"662","LAKE AT BIGHORN CD","3","3","Larimer County"
"12","LAKE CANAL","3","3","Larimer County"
"665","LAKE CANAL SUBDIVISION","3","3","Larimer County"
"102","LAKES PLACE FIRST SUBDIVISION","2","2","Loveland"
"773","LAKESIDE KOA ROAD","3","3","Larimer County"
"946","LAKEVIEW","1","1","Fort Collins"
"991","LAKEVIEW ON THE RISE","1","1","Fort Collins"
"507","LEE FARM FIRST SUBDIVISION","2","2","Loveland"
"992","LEGACY AUTO","1","1","Fort Collins"
"347","LEGACY HEIGHTS CD (17-4-69 KH)","3","3","Larimer County"
"232","LEHMANN RLUP (24-9-68) KH","3","3","Larimer County"
"309","LEMAY AVENUE ESTATES","1","1","Fort Collins"
"616","LIBERTY FARMS","1","1","Fort Collins"
"615","LIBERTY FARMS PDP","1","1","Fort Collins"
"350","LINCOLN MIXED USE","1","1","Fort Collins"
"282","LIND PROPERTY 2ND FILING PDP","1","1","Fort Collins"
"195","LIND PROPERTY PDP","1","1","Fort Collins"
"331","LINDA WILD MLD   (KH 04-S2358)","3","3","Larimer County"
"81","LITTLE TWINS HILLS  (6,7-11-70)","3","3","Larimer County"
"82","LITTLE TWINS HILLS (6,7-11-70)","3","3","Larimer County"
"648","LONE PINE DR RENAME RURAL ADDRESSING","3","3","Larimer County"
"261","LONGS THIRD SUBDIVISION","2","2","Loveland"
"182","LONGVIEW RLUP  35-8-68","3","3","Larimer County"
"104","LONGVIEW-MIDWAY 5TH SUBD","2","2","Loveland"
"922","LONGVIEW-MIDWAY 6TH SUBDIVISION","2","2","Loveland"
"692","LOV - UNNAMED 21","3","3","Larimer County"
"924","LOVELAND EISENHOWER FIRST SUBDIVISION","2","2","Loveland"
"591","LUND UNNAMED ROAD","3","3","Larimer County"
"41","LVLD-FC INDUSTRIAL AIRPARK 9TH SUBDIVISION","2","2","Loveland"
"957","M &amp; C REAL ESTATE SUBDIVISION","7","7","Berthoud"
"348","MADISON AVENUE 1ST SUBDIVISION","2","2","Loveland"
"390","MAGIC SKY RANCH (5-9-72 &amp; 32-10-72)KH","3","3","Larimer County"
"931","MAIL CREEK CROSSING PLD","1","1","Fort Collins"
"194","MANSION PARK","1","1","Fort Collins"
"208","MAPLE HILL","1","1","Fort Collins"
"917","MAPLE HILL PHASE 7","1","1","Fort Collins"
"100","MARIANA BUTTE 11TH SUBD","2","2","Loveland"
"925","MARIANA BUTTE 25TH SUBDIVISION","2","2","Loveland"
"978","MARIANA BUTTE 27TH SUBD - THE RIDGE","2","2","Loveland"
"45","MARIANA BUTTE, THE RESERVE 4TH SUBDIVISION","2","2","Loveland"
"183","MARIANA SPRINGS 1ST SUBD","2","2","Loveland"
"653","MARSH ESTATES RLUP 2ND FILING","3","3","Larimer County"
"649","MARV MCGEE PRIVATE ROAD","3","3","Larimer County"
"380","MARYS LAKE RIDGE SUBDIVISION 2-4-73","3","3","Larimer County"
"663","MCCHESNEY RLUP","3","3","Larimer County"
"502","MCCLELLANDS CREEK","3","3","Larimer County"
"281","MCDONALD SUB (36-4-69) KH","3","3","Larimer County"
"287","MCDONALD SUBDIVISION (36-4-69)KH","3","3","Larimer County"
"292","MCWHINNEY 13TH SUBDIVISION","2","2","Loveland"
"293","MCWHINNEY 14TH SUBDIVISION","2","2","Loveland"
"218","MEADOW BROOK RANCH &amp; WEAVER PARK SNC (KH 22,24-27-12-72)","3","3","Larimer County"
"236","MEADOWBROOK FARMS SECOND SUBDIVISION","2","2","Loveland"
"229","MEADOWDALE HILLS 2ND AMD(LOTS 95,96,97 -KH)","3","3","Larimer County"
"590","MEADOWS @ ROLLING HILLS","3","3","Larimer County"
"1011","MILLENNIUM EAST 10TH SUBDIVISION","2","2","Loveland"
"1020","MILLENNIUM EAST 16TH SUBDIVISION","2","2","Loveland"
"289","MILLENNIUM EAST FIRST SUBDIVISION","2","2","Loveland"
"1007","MILLENNIUM NW 14TH","2","2","Loveland"
"1008","MILLENNIUM NW 15TH","2","2","Loveland"
"1012","MILLENNIUM NW 17TH","2","2","Loveland"
"1013","MILLENNIUM NW 18TH","2","2","Loveland"
"112","MILLENNIUM NW 2ND SUBDIVISION","2","2","Loveland"
"977","MILLENNIUM NW 8TH SUBD","2","2","Loveland"
"512","MILLENNIUM SW 10TH SUBDIVISION","2","2","Loveland"
"937","MILLENNIUM SW 17TH","2","2","Loveland"
"1009","MILLENNIUM SW 18TH","2","2","Loveland"
"163","MILLENNIUM SW 1ST SUBD","2","2","Loveland"
"90","MILLENNIUM SW 2ND SUBDIVISION","2","2","Loveland"
"264","MILLENNIUM SW 5TH SUBDIVISION","2","2","Loveland"
"279","MILLENNIUM SW 7TH SUBDIVISION","2","2","Loveland"
"498","MILLENNIUM SW 9TH SUBDIVISION","2","2","Loveland"
"412","MINERAL FIRST SUBDIVISION","2","2","Loveland"
"317","MIRASOL FIRST SUBDIVISION","2","2","Loveland"
"918","MIRASOL SECOND SUBDIVISION","2","2","Loveland"
"1023","MONTAVA","1","1","Fort Collins"
"196","MOODY PARK RANCH 35 ACRE 14,15,22,23-7-71","3","3","Larimer County"
"276","MORENG SNC","3","3","Larimer County"
"386","MOSER SUB. (29-4-69) KH","3","3","Larimer County"
"13","MOUNTAIN RANCH RLUP","3","3","Larimer County"
"140","MOUNTAIN RIVER RANCH ESTATES CD 33-4-69","3","3","Larimer County"
"984","MOUNTAIN&#039;S EDGE","1","1","Fort Collins"
"973","MURRLET","7","7","Berthoud"
"46","MYERS GROUP PARTNERSHIP #939 1ST SUBDIVISION","2","2","Loveland"
"330","MYERS GROUP PARTNERSHIP #949 2ND SUBD","2","2","Loveland"
"285","MYERS GROUP PARTNERSHIP #949 FIRST SUBDIVISION","2","2","Loveland"
"342","MYERS GROUP PARTNERSHIP #949 THIRD SUB","2","2","Loveland"
"911","NEW PROSPECT PUD","1","1","Fort Collins"
"763","NEW ROAD - BY MICA CT","3","3","Larimer County"
"927","NIELSON","7","7","Berthoud"
"571","NORTH LINCOLN AVENUE SECOND SUBDIVISION","2","2","Loveland"
"956","NORTH TAFT AVENUE FIRST SUB","2","2","Loveland"
"995","NORTHFIELD","1","1","Fort Collins"
"708","NORTHLAKE","4","4","Windsor"
"921","O&#039;MALLEY GLEN","7","7","Berthoud"
"329","OAKRIDGE","1","1","Fort Collins"
"71","OBSERVATORY VILLAGE","1","1","Fort Collins"
"417","OHANA MLD   (14-7-71 KH)","3","3","Larimer County"
"398","OLANDER FARMS CD  (32-5-68 KH)","3","3","Larimer County"
"243","OLD BRIDGE RD SNC (25-6-72 KH)","3","3","Larimer County"
"501","OLD FALL RIVER RD READDRESSING EV","3","3","Larimer County"
"650","OLD OAK ESTATES","1","1","Fort Collins"
"139","OLD TOWN NORTH","1","1","Fort Collins"
"842","OLD WAGON TRAIL LN REPLACEMENT NAME","3","3","Larimer County"
"1029","OVERLAND SUBDIVISION","4","4","Windsor"
"370","OVERLOOK AT MARIANA FIRST SUBDIVISION","2","2","Loveland"
"840","OWL PRAIRIE ESTATES RLUP","3","3","Larimer County"
"299","OXBOW ON THE RIVER","4","4","Windsor"
"14","PARADISE VALLEY ESTATES","3","3","Larimer County"
"187","PARK MEADOWS","9","9","Wellington"
"68","PARK VIEW MANOR","9","9","Wellington"
"31","PARKVIEW MEADOWS","3","3","Larimer County"
"533","PARRISH RANCH ESTATES CD","3","3","Larimer County"
"934","PATEROS CREEK","1","1","Fort Collins"
"32","PEAKVIEW MEADOWS","3","3","Larimer County"
"78","PEAKVIEW SUBDIVISION","1","1","Fort Collins"
"239","PEARL CREEK RLUP (11,12-10-74)KH","3","3","Larimer County"
"341","PEARL CREEK RLUP II  (10-10-74 KH)","3","3","Larimer County"
"357","PEARL CREEK SNC","3","3","Larimer County"
"179","PHANTOM CANYON RANCH","3","3","Larimer County"
"77","PINNACLE TOWNHOMES","1","1","Fort Collins"
"504","PITTINGTON RLUP","3","3","Larimer County"
"614","PONDEROSA RIDGE MLD","3","3","Larimer County"
"204","POPLAR LAND FIRST SUB (22-8-69)KH","3","3","Larimer County"
"120","POUDRE HEIGHTS 2ND FILING","4","4","Windsor"
"958","POUDRE HEIGHTS 3RD ","4","4","Windsor"
"116","POUDRE HEIGHTS THIRD FILING","4","4","Windsor"
"15","POUDRE OVERLOOK","3","3","Larimer County"
"170","POUDRE OVERLOOK PUD 4-7-69","3","3","Larimer County"
